Date,State,Cases
26-Aug-22,california,34800
26-Aug-22,california,161700
26-Aug-22,washington,20
25-Aug-22,washington,70
24-Aug-22,utah,20
23-Aug-22,california,60
22-Aug-22,california,33900
19-Aug-22,washington,10
18-Aug-22,washington,2
16-Aug-22,california,1100
11-Aug-22,pennsylvania,90
10-Aug-22,california,40
26-Jul-22,utah,12700
26-Jul-22,washington,80
19-Jul-22,utah,23300
19-Jul-22,washington,340
14-Jul-22,utah,15500
06-Jul-22,washington,20
01-Jul-22,utah,20
01-Jul-22,washington,220
01-Jul-22,washington,6
29-Jun-22,washington,6
24-Jun-22,washington,50
22-Jun-22,washington,9
22-Jun-22,washington,3
22-Jun-22,washington,200
22-Jun-22,washington,90
14-Jun-22,washington,30
13-Jun-22,utah,70
09-Jun-22,colorado,205000
09-Jun-22,washington,30
09-Jun-22,washington,9
09-Jun-22,washington,70
07-Jun-22,colorado,1936800
07-Jun-22,washington,50
02-Jun-22,pennsylvania,30100
02-Jun-22,washington,30
31-May-22,minnesota,40
27-May-22,washington,40
25-May-22,washington,20
24-May-22,washington,7
24-May-22,washington,180
23-May-22,pennsylvania,4700
23-May-22,wisconsin,40
21-May-22,minnesota,54400
20-May-22,minnesota,50
19-May-22,colorado,10
18-May-22,minnesota,20
18-May-22,minnesota,4700
18-May-22,pennsylvania,7200
17-May-22,pennsylvania,79000
17-May-22,utah,30
17-May-22,washington,410
16-May-22,wisconsin,150
14-May-22,pennsylvania,83700
13-May-22,wisconsin,10500
13-May-22,wisconsin,90
12-May-22,minnesota,40
12-May-22,minnesota,310
12-May-22,washington,20
12-May-22,washington,80
11-May-22,minnesota,160
11-May-22,utah,20
11-May-22,washington,10
11-May-22,washington,10
11-May-22,washington,20
10-May-22,michigan,35100
10-May-22,minnesota,150
10-May-22,minnesota,50
10-May-22,pennsylvania,23800
10-May-22,pennsylvania,37300
10-May-22,pennsylvania,72300
10-May-22,washington,20
07-May-22,washington,80
07-May-22,wisconsin,20100
06-May-22,michigan,50
06-May-22,minnesota,10
05-May-22,washington,40
05-May-22,wisconsin,30
04-May-22,iowa,50
04-May-22,minnesota,30
03-May-22,minnesota,30
03-May-22,minnesota,120300
03-May-22,pennsylvania,29600
03-May-22,pennsylvania,74300
03-May-22,wisconsin,19300
03-May-22,wisconsin,46700
03-May-22,wisconsin,20
03-May-22,wisconsin,120
03-May-22,wisconsin,40
30-Apr-22,michigan,20
30-Apr-22,minnesota,60
30-Apr-22,minnesota,30
30-Apr-22,minnesota,50
29-Apr-22,colorado,1366200
29-Apr-22,minnesota,9600
29-Apr-22,washington,50
29-Apr-22,pennsylvania,19300
29-Apr-22,wisconsin,150
29-Apr-22,wisconsin,220
28-Apr-22,michigan,70
28-Apr-22,minnesota,20
28-Apr-22,minnesota,20
28-Apr-22,wisconsin,110700
27-Apr-22,michigan,80
27-Apr-22,pennsylvania,18100
26-Apr-22,iowa,4
26-Apr-22,pennsylvania,307400
25-Apr-22,michigan,40
25-Apr-22,minnesota,90
25-Apr-22,minnesota,14600
25-Apr-22,utah,1501200
23-Apr-22,wisconsin,40
22-Apr-22,minnesota,27300
22-Apr-22,minnesota,127400
22-Apr-22,minnesota,49500
22-Apr-22,pennsylvania,50300
21-Apr-22,iowa,29200
21-Apr-22,minnesota,40900
21-Apr-22,minnesota,19700
21-Apr-22,minnesota,37000
20-Apr-22,minnesota,62800
20-Apr-22,minnesota,72000
20-Apr-22,minnesota,30100
20-Apr-22,minnesota,30300
20-Apr-22,pennsylvania,1127700
20-Apr-22,pennsylvania,879400
19-Apr-22,colorado,40
19-Apr-22,colorado,58000
19-Apr-22,minnesota,38700
19-Apr-22,minnesota,35700
19-Apr-22,minnesota,53000
19-Apr-22,minnesota,58100
19-Apr-22,minnesota,17600
19-Apr-22,minnesota,47700
19-Apr-22,minnesota,29700
19-Apr-22,minnesota,31600
16-Apr-22,michigan,30
15-Apr-22,michigan,20
15-Apr-22,michigan,40
15-Apr-22,pennsylvania,1380500
15-Apr-22,utah,7
15-Apr-22,wisconsin,22000
14-Apr-22,minnesota,26400
14-Apr-22,minnesota,73200
14-Apr-22,wisconsin,70
14-Apr-22,wisconsin,20
13-Apr-22,michigan,350
13-Apr-22,minnesota,7
13-Apr-22,minnesota,22700
13-Apr-22,minnesota,35700
13-Apr-22,minnesota,20300
12-Apr-22,minnesota,130
12-Apr-22,minnesota,37100
12-Apr-22,minnesota,37600
12-Apr-22,minnesota,42900
12-Apr-22,minnesota,216200
12-Apr-22,minnesota,44800
12-Apr-22,wisconsin,46500
11-Apr-22,michigan,70
09-Apr-22,minnesota,37800
09-Apr-22,minnesota,26100
09-Apr-22,minnesota,130900
08-Apr-22,colorado,30
08-Apr-22,minnesota,29900
08-Apr-22,minnesota,76400
07-Apr-22,minnesota,20800
07-Apr-22,wisconsin,220
06-Apr-22,minnesota,17900
05-Apr-22,iowa,46000
05-Apr-22,minnesota,49500
05-Apr-22,minnesota,128500
05-Apr-22,minnesota,26200
05-Apr-22,minnesota,105300
05-Apr-22,minnesota,40800
05-Apr-22,minnesota,25500
04-Apr-22,iowa,8100
04-Apr-22,minnesota,44700
04-Apr-22,minnesota,38500
04-Apr-22,minnesota,48500
04-Apr-22,minnesota,20400
04-Apr-22,minnesota,32400
03-Apr-22,minnesota,20000
03-Apr-22,minnesota,19600
03-Apr-22,texas,1700
02-Apr-22,iowa,15300
02-Apr-22,iowa,37200
02-Apr-22,minnesota,27600
01-Apr-22,wisconsin,20
31-Mar-22,iowa,88000
31-Mar-22,iowa,5011700
31-Mar-22,minnesota,52600
31-Mar-22,minnesota,150
30-Mar-22,iowa,35600
29-Mar-22,minnesota,39500
29-Mar-22,minnesota,22500
29-Mar-22,ohio,8
28-Mar-22,iowa,1460000
28-Mar-22,iowa,25800
26-Mar-22,washington,20
26-Mar-22,minnesota,287500
26-Mar-22,minnesota,20
26-Mar-22,minnesota,23500
25-Mar-22,iowa,250200
24-Mar-22,iowa,53800
24-Mar-22,michigan,70
20-Mar-22,iowa,10
17-Mar-22,iowa,5347500
14-Mar-22,wisconsin,2750700
10-Mar-22,iowa,915900
06-Mar-22,iowa,49800
01-Mar-22,iowa,40
23-Feb-22,michigan,30
